discount,discounted_price,name,original_price,product_id,product_info,product_url,total_reviews
43,43.49,Geometric Question Mark Graphic Front Pocket Casual Hoodie,24.99,8333973,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Geometric;Season:Fall,Spring;Weight:0.5300kg;Package Contents:1 x Hoodie",https://www.dresslily.com/geometric-question-mark-graphic-front-product8333973.html,
,,Side Pocket Split Hem Patchwork Pullover Casual Hoodie,36.99,3214348,"Clothes Type:Hoodie;Occasion:Daily,Going Out,Home,Night Out,Office,Sports;Style:Fashion;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Geometric,Patchwork;Season:Fall;Weight:0.5550kg;Package Contents:1 x Hoodie",https://www.dresslily.com/side-pocket-split-hem-patchwork-product3214348.html,
55,44.53,Drawstring Kangaroo Pocket Hallowmas Hoodie,19.99,1676430,Style:Casual;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton Blends;Weight:0.570kg;Package Contents:1 x Hoodie,https://www.dresslily.com/kangaroo-pocket-hallowmas-hoodie-product1676430.html,1
,,Panel Sea Wave Print Hoodie,36.99,3214346,"Clothes Type:Hoodie;Occasion:Daily Use;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Others;Season:Fall,Spring,Winter;Weight:0.5500kg;Package Contents:1 x Hoodie",https://www.dresslily.com/panel-sea-wave-print-hoodie-product3214346.html,
,,Striped And Snowman Graphic Front Pocket Hoodie,29.99,8196845,"Clothes Type:Hoodie;Occasion:Christmas Day;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Snowman,Stripe;Season:Fall,Spring;Weight:0.5100kg;Package Contents:1 x Hoodie",https://www.dresslily.com/striped-and-snowman-graphic-front-product8196845.html,
,,Bandana Striped Print Drawstring Hoodie,34.99,8373199,"Clothes Type:Hoodies;Style:Casual;Occasions:Daily,Vacation;Collar:Hooded;Shirt Length:Regular;Sleeve Length:Full;Pattern Type:Floral,Striped;Material:Polyester;Fabric Stretch:No Stretch;Season:Fall,Spring,Winter;Weight:0.6500kg;Package Contents:1 x Hoodie",https://www.dresslily.com/bandana-striped-print-drawstring-hoodie-product8373199.html,
,,Christmas Cap Print Pullover Hoodie,29.99,4728523,"Clothes Type:Hoodie;Occasion:Christmas Day;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Animal;Season:Fall,Winter;Weight:0.4700kg;Package Contents:1 x Hoodie",https://www.dresslily.com/christmas-cap-print-pullover-hoodie-product4728523.html,
53,49.16,Flower Leaves Print Kangaroo Pocket Hoodie,22.99,8361369,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Fabric Stretch:Slight Stretch;Thickness:Regular;Patterns:3D Print,Floral;Season:Fall,Spring,Winter;Weight:0.5500kg;Package Contents:1 x Hoodie",https://www.dresslily.com/flower-leaves-print-kangaroo-pocket-product8361369.html,
,,Curved Hem Solid Kangaroo Pocket Hoodie,22.99,8176793,"Clothes Type:Hoodie;Occasion:Daily,Going Out,Halloween,Night Out;Style:Fashion;Fit Type:Regular;Shirt Length:Long;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Patterns:Solid;Season:Fall,Spring,Winter;Weight:0.4400kg;Package Contents:1 x Hoodie",https://www.dresslily.com/curved-hem-solid-kangaroo-pocket-product8176793.html,
46,47.08,Digital Leopard Pattern Front Pocket Casual Hoodie,25.49,8339457,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Fabric Stretch:Slight Stretch;Thickness:Regular;Patterns:Animal;Season:Fall,Spring;Weight:0.5400kg;Package Contents:1 x Hoodie",https://www.dresslily.com/digital-leopard-pattern-front-pocket-product8339457.html,
